LINK_ID,time,speed
2340221600.0,845,31.6
2340221600.0,855,33.0
2340221600.0,900,31.4125
2340221600.0,905,31.7125
2340221600.0,915,33.375
2340221600.0,925,33.375
2340221600.0,935,32.0
2340221600.0,945,32.5625
2340221600.0,955,32.6875
2340222100.0,600,28.25
2340222100.0,605,27.625
2340222100.0,615,26.75
2340222100.0,625,24.5
2340222100.0,635,22.0
2340222100.0,645,21.875
2340222100.0,655,21.875
2340222100.0,700,21.75
2340222100.0,705,21.375
2340222100.0,715,21.25
2340222100.0,725,20.9375
2340222100.0,735,20.9375
2340222100.0,745,22.4375
2340222100.0,755,23.375
2340222100.0,800,23.125
2340222100.0,805,23.857142857142858
2340222100.0,815,21.5
2340222100.0,825,23.833333333333332
2340222100.0,835,22.285714285714285
2340222100.0,845,22.625
2340222100.0,855,23.625
2340222100.0,900,23.625
2340222100.0,905,23.428571428571427
2340222100.0,915,23.625
2340222100.0,925,23.625
2340222100.0,935,23.25
2340222100.0,945,23.857142857142858
2340222100.0,955,23.875
2340222200.0,600,28.5
2340222200.0,605,27.125
2340222200.0,615,26.125
2340222200.0,625,23.875
2340222200.0,635,23.0
2340222200.0,645,22.625
2340222200.0,655,22.625
2340222200.0,700,22.125
2340222200.0,705,22.0
2340222200.0,715,21.875
2340222200.0,725,21.8125
2340222200.0,735,21.5
2340222200.0,745,21.5
2340222200.0,755,21.5
2340222200.0,800,21.125
2340222200.0,805,20.428571428571427
2340222200.0,815,21.625
2340222200.0,825,19.833333333333332
2340222200.0,835,20.0
2340222200.0,845,19.857142857142858
2340222200.0,855,20.125
2340222200.0,900,20.125
2340222200.0,905,20.125
2340222200.0,915,19.875
2340222200.0,925,19.875
2340222200.0,935,20.125
2340222200.0,945,20.0
2340222200.0,955,19.5
2340230100.0,600,27.25
2340230100.0,605,27.25
2340230100.0,615,27.25
2340230100.0,625,27.25
2340230100.0,635,27.25
2340230100.0,645,27.25
2340230100.0,655,27.25
2340230100.0,700,27.25
2340230100.0,705,27.25
2340230100.0,715,23.75
2340230100.0,725,23.75
2340230100.0,735,23.75
2340230100.0,745,23.75
2340230100.0,755,23.75
2340230100.0,800,23.75
2340230100.0,805,23.75
2340230100.0,815,23.75
2340230100.0,825,23.75
2340230100.0,835,23.75
2340230100.0,845,23.75
2340230100.0,855,23.75
2340230100.0,900,23.75
2340230100.0,905,23.75
2340230100.0,915,23.75
2340230100.0,925,23.75
2340230100.0,935,23.75
2340230100.0,945,23.75
2340230100.0,955,23.75
2340230200.0,600,4.5
2340230200.0,605,4.5
2340230200.0,615,4.5
2340230200.0,625,4.5
2340230200.0,635,4.5
2340230200.0,645,4.5
2340230200.0,655,4.5
2340230200.0,700,4.5
2340230200.0,705,4.5
2340230200.0,715,4.0
2340230200.0,725,4.0
2340230200.0,735,4.0
2340230200.0,745,4.0
2340230200.0,755,4.0
2340230200.0,800,4.0
2340230200.0,805,4.0
2340230200.0,815,4.0
2340230200.0,825,5.25
2340230200.0,835,5.25
2340230200.0,845,5.25
2340230200.0,855,5.25
2340230200.0,900,5.25
2340230200.0,905,5.25
2340230200.0,915,5.25
2340230200.0,925,5.25
2340230200.0,935,5.25
2340230200.0,945,5.25
2340230200.0,955,5.25
2340231100.0,600,23.857142857142858
2340231100.0,605,23.785714285714285
2340231100.0,615,26.214285714285715
2340231100.0,625,24.385714285714283
2340231100.0,635,24.97142857142857
2340231100.0,645,25.857142857142858
2340231100.0,655,26.014285714285712
2340231100.0,700,26.2625
2340231100.0,705,26.5125
2340231100.0,715,26.014285714285712
2340231100.0,725,26.014285714285712
2340231100.0,735,25.585714285714285
2340231100.0,745,25.183333333333334
2340231100.0,755,25.442857142857143
2340231100.0,800,25.057142857142857
2340231100.0,805,24.485714285714288
2340231100.0,815,25.057142857142857
2340231100.0,825,24.900000000000002
2340231100.0,835,25.7
